,Load_kWh,PV_kWh,Price_EUR_kWh,Band,Grid_Import_kWh,Batt_Ch_kWh,Batt_Dis_kWh,SOC_kWh,PV_Use_kWh,PV_Ch_kWh,PV_Curt_kWh
2025-07-22 19:00:00,39.86097963947275,0.87729706,0.120466,F2,38.983682579472756,0.0,0.0,17.725241124530044,0.87729706,0.0,0.0
2025-07-22 20:00:00,43.58551392050942,0.028242543999999998,0.120466,F2,43.55727137650942,0.0,0.0,17.725241124530044,0.028242543999999998,0.0,0.0
2025-07-22 21:00:00,41.222589567615124,0.04065445299999999,0.120466,F2,41.18193511461512,0.0,0.0,17.725241124530044,0.04065445299999999,0.0,0.0
2025-07-22 22:00:00,55.10691906326847,0.04065445299999999,0.120466,F2,55.06626461026847,0.0,0.0,17.725241124530044,0.04065445299999999,0.0,0.0
2025-07-22 23:00:00,40.037398552522916,0.040867730000000005,0.106513,F3,40.037398552522916,0.040867730000000005,0.0,17.725241124530044,0.0,0.040867730000000005,0.0
2025-07-23 00:00:00,44.67678908339141,0.041577953,0.106513,F3,44.67678908339141,0.041577953,0.0,17.764011657410283,0.0,0.041577953,0.0
2025-07-23 01:00:00,45.80948529341531,0.041577953,0.106513,F3,45.80948529341531,0.041577953,0.0,17.803455966988512,0.0,0.041577953,0.0
2025-07-23 02:00:00,49.21983029672222,0.041577953,0.106513,F3,49.21983029672222,0.041577953,0.0,17.84290027656674,0.0,0.041577953,0.0
2025-07-23 03:00:00,42.887254986383056,0.041577953,0.106513,F3,42.887254986383056,0.041577953,0.0,17.88234458614497,0.0,0.041577953,0.0
2025-07-23 04:00:00,63.95477775445969,0.041577953,0.106513,F3,63.95477775445969,0.041577953,0.0,17.9217888957232,0.0,0.041577953,0.0
2025-07-23 05:00:00,79.73932149442886,0.044285843,0.106513,F3,79.73932149442886,0.044285843,0.0,17.96123320530143,0.0,0.044285843,0.0
2025-07-23 06:00:00,81.61756421123337,1.0506704999999998,0.106513,F3,81.61756421123337,1.0506704999999998,0.0,18.003246444895616,0.0,1.0506704999999998,0.0
2025-07-23 07:00:00,65.80267229956554,3.7014866,0.120466,F2,62.10118569956554,0.0,0.0,19.0,3.7014866,0.0,0.0
2025-07-23 08:00:00,43.45647558369446,9.072415999999999,0.129865,F1,34.384059583694466,0.0,0.0,19.0,9.072415999999999,0.0,0.0
2025-07-23 09:00:00,39.62385737741654,14.60744,0.129865,F1,25.01641737741654,0.0,0.0,19.0,14.60744,0.0,0.0
2025-07-23 10:00:00,43.046211100005614,18.57905,0.129865,F1,24.467161100005615,0.0,0.0,19.0,18.57905,0.0,0.0
2025-07-23 11:00:00,39.482565785351454,20.880243999999998,0.129865,F1,18.602321785351457,0.0,0.0,19.0,20.880243999999998,0.0,0.0
